ionizable_ratio,helper_ratio,sterol_ratio,peg_ratio,particle_size_nm,encapsulation_efficiency,ionizable_4A3-SC8,ionizable_A2-Iso5-2DC18,ionizable_ALC-0315,ionizable_AX4,ionizable_C12-200,ionizable_Custom lipid,ionizable_DLin-KC2-DMA,ionizable_DLin-MC3-DMA,ionizable_DLinDMA,ionizable_DODAP,ionizable_DOTAP,ionizable_DOTMA,ionizable_L202,ionizable_OF-02,ionizable_Other,ionizable_SM-102
35.0,16.0,46.5,2.5,153.1,48.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,135.1,69.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,167.1,54.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,164.2,73.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,157.1,53.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,171.9,64.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,166.8,57.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,160.8,58.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,150.3,39.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,154.9,42.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,159.3,48.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,151.4,49.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,135.4,46.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,156.2,37.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,158.1,53.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,176.0,77.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,167.4,60.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,159.8,66.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,143.2,45.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,174.6,63.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,175.2,78.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,163.1,78.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,162.2,79.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,159.9,77.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,162.3,79.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,151.7,79.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,155.1,57.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,151.7,63.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,162.3,41.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,140.8,40.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,173.5,57.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,146.7,59.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,161.7,46.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,168.9,65.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,169.2,54.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,184.3,48.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,173.9,47.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,154.3,37.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
